SNo.,District Name,Janpad / Block Name,Panchayat Name,Work Start Fin Year,Work Status,Work Code,Work Name,Master Work Category Name,Work Category Name,WORK TYPE as per new work creation Module,Work Type,Agency Name,Sanction Wages (Rs),Sanction Material (Rs),Booked Current FY Wages (Rs),Booked Current FY Material (Rs),Paid Current FY Wages (Rs),Paid Current FY Material (Rs),Booked Since Inception Wages (Rs),Booked Since Inception Material (Rs),Paid Since Inception Wages (Rs),Paid Since Inception Material (Rs),Total Mandays,Mandays Generated Current FY,No. Of Units,Is Exempted Ongoing Community Works(20) within GP,Is Secure,Is Convergence,Work Started Date,Work Physically/ Completed Date,Individual Beneficiary JCN
1,SATNA,AMARPATAN,AHIRGAON,2017-2018,Approved,1712006039/IF/IAY/1079440,Construction of IAY House -IAY REG. NO. MP2358277,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,IAY Houses,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,12-05-2017,
2,SATNA,AMARPATAN,AHIRGAON,2021-2022,Ongoing,1712006039/IF/22012034720465,JSA (CTR) खेत तालाब कार्य लालमन पटेल,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Works on Individuals Land (Category IV),Construction of Earthen graded Bund for Individuals,Constr of Earthen graded Bund for Individuals,Gram Panchayat,105747.74,36834.48,142870,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,05-05-2021,
3,SATNA,AMARPATAN,AHIRGAON,2021-2022,Ongoing,1712006039/IF/IAY/3560825,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4997266,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,23-02-2022,
4,SATNA,AMARPATAN,AHIRGAON,2021-2022,Ongoing,1712006039/IF/IAY/3417939,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4827597,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,25-02-2022,
5,SATNA,AMARPATAN,AHIRGAON,2024-2025,Approved,1712006039/RS/22012035134472,नाली निर्माण कार्य हा0 सेकेंड्री स्कूल से बी0 एस0 ऐंन0 एल0 ऑफिस की ओर ग्रा0पंचा0 अहिरगाव(नरेगा+15वित,D --RURAL INFRASTUCTURE,Rural Sanitation,Construction of Open / Covered Grey Water/Storm Drain for Community,Constr of Open/Covered Grey Water Drain for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,03-10-2024,
6,SATNA,AMARPATAN,AHIRGAON,2024-2025,Ongoing,1712006039/AV/22012034660433,शांति धाम निर्माण कार्य ग्राम अहिरगाँव ग्राम पंचायत अहिरगाँव,D --RURAL INFRASTUCTURE,Anganwadi/Other Rural Infrastructure,Construction of Crematorium for Community,Construction of Crematorium for Community,Gram Panchayat,38076.74,296829.35,335219,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,08-11-2024,
7,SATNA,AMARPATAN,AHIRGAON,2024-2025,New,1712006039/AV/22012034660313,शांति धाम निर्माण कार्य ग्राम किरहाई ग्राम पंचायत अहिरगाँव,D --RURAL INFRASTUCTURE,Anganwadi/Other Rural Infrastructure,Construction of Crematorium for Community,Construction of Crematorium for Community,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,09-07-2024,
8,SATNA,AMARPATAN,AHIRGAON,2024-2025,Ongoing,1712006039/DP/22012034626235,वृक्षारोपण कार्य आयुर्वेदिक औषधालय व शा0हायर सेकंड्री स्कूल ग्राम अहीरगाव ग्राम पंचायतअहिरगाव(मनरेगा,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Drought Proofing,Boundary Line Plantation of Forestry Trees for Community,Boundary Line Plantation of Forestry-Community,Gram Panchayat,78983.85,89817.85,169116,0,0,0,0,0,0,0,0,31,31,1,,YES,NO,10-09-2024,
9,SATNA,AMARPATAN,AHIRGAON,2024-2025,New,1712006039/RC/22012034675214,पीसीसी रोड निर्माण कार्य,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,14-04-2024,
10,SATNA,AMARPATAN,AHIRGAON,2024-2025,New,1712006039/RC/22012034675215,पीसीसी रोड निर्माण कार्य,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-04-2024,
