District,Janpad,Sector,Gram_Panchayat,GP_20Sep_Name,Sub_Engineer,Correction
Maihar,Amarpatan,BELA,BELA,Bela,सुनील मिश्रा,
Maihar,Amarpatan,BELA,DITHAURA,Dithoura,सुनील मिश्रा,
Maihar,Amarpatan,BELA,JHINNA,Ghinna,सुनील मिश्रा,
Maihar,Amarpatan,BELA,JHIRIYAKOPARIHAN,Jhiriya Kopariyan,सुनील मिश्रा,
Maihar,Amarpatan,BELA,KAKALPUR,Kakalpur,सुनील मिश्रा,
Maihar,Amarpatan,BELA,KEMAR,Kemara,सुनील मिश्रा,
Maihar,Amarpatan,BELA,KHAJURI SUKHNANDAN,Khajuri Sukhnandan,सुनील मिश्रा,
Maihar,Amarpatan,BELA,MADHA,Madha,सुनील मिश्रा,
Maihar,Amarpatan,BELA,PAGARA,Pagara,सुनील मिश्रा,
Maihar,Amarpatan,BELA,PAIPKHARA,Paipakhara,सुनील मिश्रा,
Maihar,Amarpatan,BELA,RUHIYA,Ruhiya,सुनील मिश्रा,
Maihar,Amarpatan,BELA,SANNEHIBADA,Sannehi Bada,सुनील मिश्रा,
Maihar,Amarpatan,LALPUR,BARREHBADA,Bareh Bada,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,BHISHAMPUR,Bhiesampur,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,CHORAKHARI,Chorkhadi,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,DEORI(JAGDISHPUR),Dewari,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,ITMAKOTHAR,Itama Kothar,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,KHARAM SEDA,Kharamseda,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,KIRHAI,Kirhai,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,KUMHARI,Kumhari,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,LALPUR,Lalpur,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,MADHI (BIRDUTT),Madhi Beerdutt,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,MAUHARIYALALAN,Mouhariya Lalan,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,OBRA,Overa,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,PATHARA,Pathara,अश्वनी पटेल,
Maihar,Amarpatan,LALPUR,SUWA,Suaia,अश्वनी पटेल,
Maihar,Amarpatan,MAUHARI KATARA,AHIRGAON,Ahirgaon,अनिल पटेल,
Maihar,Amarpatan,MAUHARI KATARA,DEO,Deua,अनिल पटेल,
Maihar,Amarpatan,MAUHARI KATARA,DINAPUR,Dinapur,अनिल पटेल,
Maihar,Amarpatan,MAUHARI KATARA,ERA,Aira,अनिल पटेल,
Maihar,Amarpatan,MAUHARI KATARA,KARAHI LAMI,Karahi Lami,अनिल पटेल,
Maihar,Amarpatan,MAUHARI KATARA,KHUTAHA,Khutaha,अनिल पटेल,
Maihar,Amarpatan,MAUHARI KATARA,KORIGAWAN,Korigaon,अनिल पटेल,
Maihar,Amarpatan,MAUHARI KATARA,MAHUDAR,Mahudar,अनिल पटेल,
